symbol	old_symbol
ABHD14A-ACY1	
ABHD14B	MGC15429
ABHD14B	CIB
ABHD15	
ABHD15-AS1	linc-TP53I13
ABHD15-AS1	lnc-TP53I13
ABHD16A	NG26
ABHD16A	D6S82E
ABHD16A	BAT5
ABHD16B	dJ591C20.1
ABHD16B	C20orf135
ABHD17A	MGC5244
ABHD17A	C19orf27
ABHD17A	FAM108A1
ABHD17AP1	C1orf47
ABHD17AP1	FAM108A2
ABHD17AP1	ABHD17AP2
ABHD17AP1	FAM108A3
ABHD17AP1	FAM108A11P
ABHD17AP1	FAM108A3P
ABHD17AP3	FAM108A4
ABHD17AP3	FAM108A4P
ABHD17AP4	FAM108A5
ABHD17AP4	FAM108A5P
ABHD17AP5	FAM108A6
ABHD17AP5	FAM108A6P
ABHD17AP6	FAM108A7P
ABHD17AP7	FAM108A8P
ABHD17AP8	FAM108A9P
ABHD17AP9	FAM108A10P
ABHD17B	CGI-67
ABHD17B	C9orf77
ABHD17B	FAM108B1
ABHD17C	FAM108C1
ABHD18	FLJ21106
ABHD18	C4orf29
ABHD2	LABH2
ABHD3	LABH3
ABHD4	FLJ12816
ABHD5	CGI-58
ABHD5	NCIE2
ABHD6	
ABHD8	FLJ11743
ABHD8	MGC14280
ABHD8	MGC2512
ABI1	E3B1
ABI1	ABI-1
ABI1	SSH3BP1
ABI1P1	SSH3BP1P
ABI1P1	ABI1P
ABI2	ABI-2
ABI2	AIP-1
ABI2	ABI2B
ABI2	AblBP3
ABI2	argBPIA
ABI2	SSH3BP2
ABI3	NESH
ABI3	SSH3BP3
ABI3BP	NESHBP
ABI3BP	DKFZP586L2024
ABI3BP	TARSH
ABITRAM	CG-8
ABITRAM	FLJ20457
ABITRAM	Simiate
ABITRAM	C9orf6
ABITRAM	FAM206A
ABITRAMP1	FAM206BP
ABL1	JTK7
ABL1	c-ABL
ABL1	p150
ABL1	ABL
ABL2	ARG
ABL2	ABLL
ABLIM1	abLIM
ABLIM1	limatin
ABLIM1	LIMAB1
ABLIM1	ABLIM
ABLIM2	KIAA1808
ABLIM3	KIAA0843
ABO	A3GALNT
ABO	A3GALT1
ABR	MDB
ABRA	STARS
ABRACL	PRO2013
ABRACL	HSPC280
ABRACL	Costars
ABRACL	C6orf115
ABRAXAS1	FLJ13614
ABRAXAS1	ABRA1
ABRAXAS1	ABRAXAS
ABRAXAS1	CCDC98
ABRAXAS1	FAM175A
ABRAXAS2	Em:AC068896.4
ABRAXAS2	ABRO1
ABRAXAS2	KIAA0157
ABRAXAS2	FAM175B
ABT1	Esf2
ABT1P1	
ABTB1	BPOZ
ABTB1	EF1ABP
ABTB1	Btb3
ABTB1	BTBD21
ABTB2	DKFZP586C1619
ABTB2	BTBD22
ABTB2	ABTB2A
ACAA1	
ACAA2	DSAEC
ACACA	ACC1
ACACA	ACAC
ACACA	ACC
ACACB	HACC275
ACACB	ACC2
ACACB	ACCB
ACAD10	MGC5601
ACAD11	FLJ12592
ACAD8	
ACAD9	NPD002
ACAD9	MGC14452
ACADL	LCAD
ACADL	ACAD4
ACADM	MCAD
ACADM	MCADH
ACADM	ACAD1
ACADS	SCAD
ACADS	ACAD3
ACADSB	SBCAD
ACADSB	ACAD7
ACADVL	VLCAD
ACADVL	LCACD
ACADVL	ACAD6
ACAN	CSPGCP
ACAN	MSK16
ACAN	CSPG1
ACAN	AGC1
ACAP1	KIAA0050
ACAP1	CENTB1
ACAP2	KIAA0041
ACAP2	CNT-B2
ACAP2	CENTB2
ACAP2-IT1	
ACAP3	KIAA1716
ACAP3	CENTB5
ACAT1	THIL
ACAT1	ACAT
ACAT2	
ACBD3	GCP60
ACBD3	PAP7
ACBD3	GOLPH1
ACBD3	GOCAP1
ACBD3-AS1	RP11-275I14.4
ACBD4	FLJ13322
ACBD5	DKFZp434A2417
ACBD5	KIAA1996
ACBD6	MGC2404
ACBD7	FLJ38219
ACBD7	bA455B2.2
ACCS	PHACS
ACCS	ACS
ACCSL	
ACD	Ptop
ACD	Pip1
ACD	Tpp1
ACD	Tint1
ACE	ACE1
ACE	CD143
ACE	DCP1
ACE2	
ACE3P	
ACER1	ASAH3
ACER2	FLJ41587
ACER2	ALKCDase2
ACER2	ASAH3L
ACER2P1	
ACER3	FLJ11238
ACER3	APHC
ACER3	PHCA
ACHE	YT
ACIN1	KIAA0670
ACIN1	fSAP152
ACIN1	ACINUS
ACKR1	CCBP1
ACKR1	GPD
ACKR1	Dfy
ACKR1	CD234
ACKR1	FY
ACKR1	DARC
ACKR2	CCR10
ACKR2	D6
ACKR2	CCR9
ACKR2	CMKBR9
ACKR2	CCBP2
ACKR3	RDC1
ACKR3	GPR159
ACKR3	CMKOR1
ACKR3	CXCR7
ACKR4	CCR11
ACKR4	CCBP2
ACKR4	VSHK1
ACKR4	CCX-CKR
ACKR4	PPR1
ACKR4	CCRL1
ACKR4P1	dJ509I19.4
ACKR4P1	CCRL1P
ACKR4P1	CCRL1P1
ACLY	ATPCL
ACLY	CLATP
ACLY	ACL
ACMSD	
ACNATP	BAATP1
ACO1	IRP1
ACO1	IREBP
ACO1	IREB1
ACO2	ACONM
ACOD1	CAD
ACOD1	IRG1
ACOT1	ACH2
ACOT1	CTE-1
ACOT1	LACH2
ACOT11	STARD14
ACOT11	BFIT
ACOT11	KIAA0707
ACOT11	BFIT1
ACOT11	THEM1
ACOT11	THEA
ACOT12	Cach
ACOT12	THEAL
ACOT12	STARD15
ACOT13	HT012
ACOT13	THEM2
ACOT2	Mte1
ACOT2	ZAP128
ACOT4	FLJ31235
ACOT4	PTE-Ib
ACOT4	PTE2B
ACOT6	C14orf42
ACOT7	BACH
ACOT7	ACH1
ACOT7	ACT
ACOT7	CTE-II
ACOT7	LACH1
ACOT7	MGC1126
ACOT7	hBACH
ACOT8	hACTE-III
ACOT8	hTE
ACOT8	PTE-2
ACOT8	NAP1
ACOT8	PTE1
ACOT9	CGI-16
ACOT9	MT-ACT48
ACOT9	ACATE2
ACOX1	PALMCOX
ACOX2	BRCACOX
ACOX2	BRCOX
ACOX2	THCCox
ACOX3	
ACOXL	FLJ11042
ACOXL-AS1	
ACP1	HAAP
ACP1	LMW-PTP
ACP1	LMWPTP
ACP2	LAP
ACP3	ACP-3
ACP3	PAP
ACP3	TM-PAP
ACP3	ACPP
ACP4	ACPT
ACP5	TRAP
ACP5	HPAP
ACP6	LPAP
ACP6	ACPL1
ACP7	FLJ16165
ACP7	PAPL1
ACP7	PAPL
ACR	
ACRBP	SP32
ACRBP	OY-TES-1
ACRBP	CT23
ACRP1	
ACRV1	SPACA2
ACRV1	SP-10
ACRV1	D11S4365
ACSBG1	BGM
ACSBG1	FLJ30320
ACSBG1	MGC14352
ACSBG1	BG1
ACSBG1	KIAA0631
ACSBG1	hBG1
ACSBG1	hsBG
ACSBG2	BGR
ACSBG2	PRTD-NY3
ACSBG2	DKFZp434K1635
ACSF2	FLJ20920
ACSF2	ACSMW
ACSF3	
ACSL1	LACS2
ACSL1	LACS
ACSL1	ACS1
ACSL1	LACS1
ACSL1	FACL1
ACSL1	FACL2
ACSL3	ACS3
ACSL3	PRO2194
ACSL3	FACL3
ACSL3-AS1	
ACSL4	ACS4
ACSL4	LACS4
ACSL4	FACL4
ACSL4	MRX63
ACSL4	MRX68
ACSL5	ACS5
ACSL5	ACS2
ACSL5	FACL5
ACSL6	KIAA0837
ACSL6	ACS2
ACSL6	LACS5
ACSL6	LACS2
ACSL6	FACL6
ACSL6-AS1	
ACSM1	MACS1
ACSM1	BUCS1
ACSM2A	A-923A4.1
ACSM2A	MGC150530
ACSM2A	ACSM2
ACSM2B	HXMA
ACSM2B	HYST1046
ACSM2B	ACSM2
ACSM3	SA
ACSM3	SAH
ACSM4	
ACSM5	FLJ20581
ACSM5P1	
ACSM6	bA310E22.3
ACSM6	C10orf129
ACSS1	dJ568C11.3
ACSS1	AceCS2L
ACSS1	MGC33843
ACSS1	ACAS2L
ACSS2	ACS
ACSS2	ACSA
ACSS2	AceCS
ACSS2	dJ1161H23.1
ACSS2	ACAS2
ACSS3	FLJ21963
ACTA1	NEM3
ACTA1	ACTA
ACTA2	ACTSA
ACTA2-AS1	uc001kfo.1
ACTA2-AS1	ZXF1
ACTA2-AS1	UC001kfo
ACTB	
ACTBL2	DKFZp686D0972
ACTBP1	
ACTBP10	
ACTBP11	
ACTBP12	ACTGP5
ACTBP14	
ACTBP15	
ACTBP2	
ACTBP3	
ACTBP4	
ACTBP6	
ACTBP7	
ACTBP8	ACTBP2
ACTBP9	
ACTC1	CMD1R
ACTC1	ACTC
ACTE1P	
ACTG1	ACTG
ACTG1	DFNA20
ACTG1	DFNA26
ACTG1P1	ACTGP1
ACTG1P1	ACT1GP1
ACTG1P10	ACTL1
ACTG1P10	ACTGP10
ACTG1P11	
ACTG1P12	
ACTG1P13	
ACTG1P14	
ACTG1P15	
ACTG1P16	
ACTG1P17	
ACTG1P18	
ACTG1P19	
ACTG1P2	ACTL2
ACTG1P2	ACTGP2
ACTG1P20	
ACTG1P21	
ACTG1P22	
ACTG1P23	
ACTG1P24	POTENP
ACTG1P25	AGPG
ACTG1P3	ACTGP3
ACTG1P4	ACTGP4
ACTG1P6	ACTGP6
ACTG1P7	ACTGP7
ACTG1P8	ACTGP8
ACTG1P9	ACTGP9
ACTG2	ACTSG
ACTG2	ACTL3
ACTG2	ACTA3
ACTL10	C20orf134
ACTL11P	ACTBP13
ACTL6A	Actl6
ACTL6A	BAF53A
ACTL6A	Arp4
ACTL6A	Baf53a
ACTL6A	INO80K
ACTL6B	BAF53B
ACTL6B	ACTL6
ACTL7A	
ACTL7B	Tact1
ACTL8	CT57
ACTL9	MGC33407
ACTN1	
ACTN1-AS1	C14orf84
ACTN2	
ACTN3	
ACTN4	FSGS1
ACTN4P1	
ACTN4P2	
ACTP1	
ACTR10	HARP11
ACTR10	ACTR11
ACTR10	Arp11
ACTR10	Arp10
